Boid,Speed
Boid9,342.4059
Boid10,172.723
Boid11,1241.918
Boid12,254.7213
Boid13,453.4229
Boid14,511.5881
Boid15,1145.15
Boid16,747.5782
Boid17,839.5818
Boid18,790.081
Boid19,610.5569
Boid20,1157.937
Boid21,804.3488
Boid22,1139.15
Boid23,748.2717
Boid24,182.5854
Boid25,235.861
Boid26,780.9902
Boid27,1159.629
Boid28,705.2405
Boid29,508.2864
Boid30,587.1047
Boid31,681.03
Boid32,261.5082
Boid33,620.5043
Boid34,907.0046
Boid35,161.0383
Boid36,584.7944
Boid37,1233.145
Boid38,630.4454
Boid39,771.4623
Boid40,902.4797
Boid41,742.4334
Boid42,1002.892
Boid43,1126.06
Boid44,508.2489
Boid45,475.0957
Boid46,986.7071
Boid47,467.8283
Boid48,677.5357
Boid49,474.6947
Boid50,172.5726
Boid51,542.7734
Boid52,691.699
Boid53,453.3795
Boid54,542.6166
Boid55,458.1063
Boid56,1022.056
Boid57,1186.314
Boid58,893.9897
Boid59,912.2424
Boid60,492.5419
Boid61,495.523
Boid62,768.0038
Boid63,584.4114
Boid64,381.4236
Boid65,775.8795
Boid66,152.942
Boid67,877.8575
Boid68,589.0573
Boid69,639.991
Boid70,51.63595
Boid71,640.6628
Boid72,853.6033
Boid73,1079.513
Boid74,78.68002
Boid75,554.1796
Boid76,833.4163
Boid77,914.0402
Boid78,1107.564
Boid79,979.4089
Boid80,820.6188
Boid81,204.5425
Boid82,326.6968
Boid83,664.1475
Boid84,669.0711
Boid85,879.7153
Boid86,1047.411
Boid87,563.3085
Boid88,215.0459
Boid89,922.4852
Boid90,304.9982
Boid91,1099.591
Boid92,783.4307
Boid93,510.0694
Boid94,1182.031
Boid95,634.066
Boid96,323.7559
Boid97,848.7462
Boid98,350.3801
Boid99,767.5931
Boid100,536.881
Boid101,1006.226
Boid102,634.1161
Boid103,442.0895
Boid104,300.1177
Boid105,798.9243
Boid106,411.8168
Boid107,757.1531
Boid108,1042.407
Boid109,596.6575
Boid110,752.8096
Boid111,649.0453
Boid112,204.8484
Boid113,61.22431
Boid114,623.2059
Boid115,906.3187
Boid116,774.0477
Boid117,823.3638
Boid118,369.4507
Boid119,777.8846
Boid120,202.3527
Boid121,734.2581
Boid122,1071.196
Boid123,216.1503
Boid124,660.746
Boid125,303.772
Boid126,408.6174
Boid127,900.182
Boid128,930.866
Boid129,435.0104
Boid130,719.2999
Boid131,633.5511
Boid132,539.741
Boid133,510.9881
Boid134,562.1632
Boid135,756.0545
Boid136,292.773
Boid137,632.7126
Boid138,100.1638
Boid139,357.9001
Boid140,802.307
Boid141,452.9956
Boid142,546.6913
Boid143,624.0111
Boid144,1103.354
Boid145,821.9387
Boid146,753.4016
Boid147,269.4967
Boid148,328.2886
Boid149,936.2569
Boid150,1182.812
Boid151,1134.042
Boid152,727.2417
Boid153,495.4904
Boid154,1181.565
Boid155,935.8693
Boid156,680.8608
Boid157,658.2236
Boid158,1147.178
Boid159,989.0941
Boid160,996.9548
Boid161,650.2695
Boid162,929.485
Boid163,343.9105
Boid164,205.5663
Boid165,407.846
Boid166,540.0218
Boid167,40.22949
Boid168,874.1426
Boid169,615.0845
Boid170,553.2412
Boid171,646.6395
Boid172,1261.839
Boid173,814.1161
Boid174,860.5352
Boid175,853.9136
Boid176,1013.223
Boid177,632.4265
Boid178,384.6708
Boid179,1013.28
Boid180,1049.722
Boid181,553.7947
Boid182,392.8617
Boid183,644.8007
Boid184,820.3624
Boid185,1014.402
Boid186,570.8462
Boid187,1299.919
Boid188,1150.998
Boid189,1237.031
Boid190,770.7696
Boid191,521.3369
Boid192,227.4247
Boid193,682.8249
Boid194,527.622
Boid195,1232.347
Boid196,1082.155
Boid197,840.0399
Boid198,95.32301
Boid199,226.951
Boid200,247.721
Boid201,676.7709
Boid202,805.9442
Boid203,1099.824
Boid204,980.0495
Boid205,448.7005
Boid206,597.4966
Boid207,578.673
Boid208,511.0524
Boid209,263.3401
Boid210,648.4958
Boid211,1176.532
Boid212,575.2672
Boid213,621.1941
Boid214,884.9866
Boid215,468.7772
Boid216,369.3354
Boid217,874.6834
Boid218,1060.365
Boid219,800.2018
Boid220,814.0269
Boid221,402.0812
Boid222,679.9621
Boid223,308.9098
Boid224,184.9729
Boid225,705.3705
Boid226,915.8441
Boid227,1284.725
Boid228,1228.423
Boid229,993.855
Boid230,1173.211
Boid231,657.044
Boid232,968.0987
Boid233,824.0888
Boid234,449.1601
Boid235,809.8121
Boid236,469.5984
Boid237,448.7979
Boid238,688.9191
Boid239,272.1946
Boid240,956.8743
Boid241,888.3372
Boid242,551.3357
Boid243,863.2407
Boid244,860.0932
Boid245,445.2097
Boid246,741.3975
Boid247,759.4938
Boid248,255.7067
Boid249,625.5671
Boid0,564.6064
Boid1,1150.535
Boid2,884.9752
Boid3,155.8407
Boid4,238.4381
Boid5,1152.664
Boid6,251.3949
Boid7,279.1854
Boid8,180.8109
Boid9,325.2433
Boid10,165.848
Boid11,1195.647
Boid12,245.2009
Boid13,434.6531
Boid14,489.836
Boid15,1096.636
Boid16,711.5248
Boid17,799.711
Boid18,757.4423
Boid19,584.6599
Boid20,1105.759
Boid21,768.4149
Boid22,1087.443
Boid23,715.4362
Boid24,169.7314
Boid25,229.6178
Boid26,753.1027
Boid27,1112.119
Boid28,672.7579
Boid29,486.7666
Boid30,559.9182
Boid31,655.0988
Boid32,250.7074
Boid33,593.6559
Boid34,872.3188
Boid35,155.1029
Boid36,561.1184
Boid37,1182.11
Boid38,609.572
Boid39,738.3035
Boid40,864.246
Boid41,716.8765
Boid42,960.6407
Boid43,1074.655
Boid44,482.8909
Boid45,450.94
Boid46,941.2874
Boid47,453.682
Boid48,650.0647
Boid49,455.7652
Boid50,167.5758
Boid51,520.7245
Boid52,667.7036
Boid53,439.5768
Boid54,517.744
Boid55,444.5322
Boid56,985.5555
Boid57,1142.271
Boid58,858.7032
Boid59,871.0626
Boid60,471.9592
Boid61,477.4984
Boid62,734.3995
Boid63,558.575
Boid64,362.1589
Boid65,739.5674
Boid66,144.1232
Boid67,842.4191
Boid68,570.5237
Boid69,609.9192
Boid70,46.2771
Boid71,616.5316
Boid72,822.0709
Boid73,1033.039
Boid74,75.17912
Boid75,529.3629
Boid76,802.6586
Boid77,877.6064
Boid78,1063.313
Boid79,938.1638
Boid80,783.6684
Boid81,193.7606
Boid82,309.7191
Boid83,640.3204
Boid84,641.4338
Boid85,843.7675
Boid86,1004.233
Boid87,544.9945
Boid88,204.7435
Boid89,882.5734
Boid90,295.9359
Boid91,1052.701
Boid92,754.8661
Boid93,488.0173
Boid94,1133.973
Boid95,603.4174
Boid96,311.5314
Boid97,813.8327
Boid98,334.533
Boid99,735.9183
Boid100,515.2172
Boid101,964.7538
Boid102,603.6524
Boid103,421.9326
Boid104,288.0786
Boid105,765.9785
Boid106,392.3986
Boid107,720.727
Boid108,999.2489
Boid109,572.3343
Boid110,717.8972
Boid111,618.3041
Boid112,195.0299
Boid113,60.09808
Boid114,602.6636
Boid115,874.7505
Boid116,744.8343
Boid117,788.6334
Boid118,358.0795
Boid119,746.6099
Boid120,190.5532
Boid121,704.0088
Boid122,1027.83
Boid123,206.6795
Boid124,633.8527
Boid125,292.6223
Boid126,392.8026
Boid127,859.053
Boid128,890.2956
Boid129,416.9292
Boid130,692.3152
Boid131,607.7192
Boid132,515.2131
Boid133,490.4351
Boid134,541.1797
Boid135,723.8704
Boid136,283.1309
Boid137,608.7594
Boid138,90.57594
Boid139,341.3318
Boid140,765.4163
Boid141,434.6903
Boid142,520.1949
Boid143,599.9803
Boid144,1058.897
Boid145,785.8934
Boid146,726.4836
Boid147,263.972
Boid148,311.5408
Boid149,897.228
Boid150,1134.523
Boid151,1087.524
Boid152,693.4259
Boid153,471.5258
